product_id,rating,pros,cons,text,date,text_only_rating,similarity_to_others,lack_of_specifics,superlative_ratio,ad_cliche_ratio,generic_word_ratio,red_flags,green_flags,label
471177947,5,"Самый кайыовый лонгслив, качество супер, материал супер, ещё и моднявый))) 🔥",,,"Сегодня, 14:58",0,0.1176,0.9091,0.0,0.4545,0.0,1,5,0
471177947,5,Оооооочень классный 💪🏻,,,"Сегодня, 13:07",0,0.0,1.0,0.0,0.0,0.3333,2,4,1
471177947,5,Супер пупер,,,"Сегодня, 12:34",0,0.5,1.0,0.0,0.0,0.0,1,4,0
471177947,5,"КАЧЕСТВО, ВНЕШНИЙ ВИД, ХОРОШО СИДИТ, УДОБНО НОСИТЬ, ПРИЯТНО НА ОЩУПЬ",,,"Сегодня, 01:02",0,1.0,1.0,0.0,0.0,0.0,1,5,0
471177947,1,,Пришел с грязными рукавами красными от кофра посмотрим примут ли заявку,,"Вчера, 22:59",0,0.0625,1.0,0.0,0.0,0.0,0,6,0
471177947,5,"ХОРОШО СИДИТ, КАЧЕСТВО, ПРИЯТНО НА ОЩУПЬ",,,"Вчера, 22:47",0,1.0,1.0,0.0,0.0,0.0,1,4,0
471177947,5,Качество хорошее.,Большемерит.,"Ношу 50, взяла 4, т.к. 50 размер был большеват.","Вчера, 18:58",0,0.1818,0.75,0.0,0.0,0.0833,0,6,0
471177947,5,"Очень нравится ткань, интересный дизайн",,,"Вчера, 18:35",0,0.1667,1.0,0.0833,0.0,0.0,0,4,0
471177947,3,"Быстро теряет форму, но цвет кстати сохраняется.",,,"Вчера, 10:58",0,0.0,0.875,0.0,0.0,0.0,0,5,0
471177947,5,"ХОРОШО СИДИТ, ВНЕШНИЙ ВИД, КАЧЕСТВО, ПРИЯТНО НА ОЩУПЬ, УДОБНО НОСИТЬ",,"Отличный Лонг, качество на высоте","Вчера, 09:17",0,0.6842,1.0,0.0,0.3125,0.0625,2,4,1
471177947,5,"ВНЕШНИЙ ВИД, КАЧЕСТВО, УДОБНО НОСИТЬ",,,"Вчера, 04:48",0,1.0,1.0,0.0,0.0,0.0,1,4,0
471177947,5,,,"Качественный , приятный к телу , берите однозначно","Вчера, 00:57",0,0.25,1.0,0.0,0.0,0.0,0,4,0
471177947,5,"КАЧЕСТВО, ВНЕШНИЙ ВИД, ХОРОШО СИДИТ, УДОБНО НОСИТЬ, ПРИЯТНО НА ОЩУПЬ",,"Хороший лонг, уже 5-ый раз стираю на 90 градусов 2 часа и принт на мое удивление абсолютно цел. Рекомендую 🫶🏻","Вчера, 00:47",0,0.3704,1.0,0.0179,0.1786,0.0357,1,4,0
471177947,5,"КАЧЕСТВО, ВНЕШНИЙ ВИД, ХОРОШО СИДИТ, УДОБНО НОСИТЬ, ПРИЯТНО НА ОЩУПЬ",,,"23 мая, 20:16",0,1.0,1.0,0.0,0.0,0.0,1,5,0
471177947,1,,Работница пвз максимально грубо разговаривала и отказывалась выдавать заказы …,,"23 мая, 19:12",0,0.0,1.0,0.0,0.0,0.0,0,6,0
